date,code,open,high,low,close,volume,amount,turn,pctChg
2025-10-23,sz.002642,8.9900000000,9.0300000000,8.8200000000,9.0200000000,17246419,153743648.6900,2.606900,0.557400
2025-10-24,sz.002642,9.0200000000,9.1000000000,9.0100000000,9.0500000000,18466500,167073051.0000,2.791300,0.332600
2025-10-27,sz.002642,9.1000000000,9.1200000000,8.9400000000,8.9900000000,21297800,192097552.0000,3.219200,-0.663000
2025-10-28,sz.002642,9.0600000000,9.0900000000,8.9300000000,9.0000000000,18376650,165913299.0000,2.777700,0.111200
2025-10-29,sz.002642,9.0000000000,9.0000000000,8.8500000000,8.9700000000,20161062,179662611.9200,3.047400,-0.333300
2025-10-30,sz.002642,8.8800000000,8.8900000000,8.6700000000,8.7500000000,25681300,225218330.0000,3.881800,-2.452600
2025-10-31,sz.002642,8.7900000000,9.0600000000,8.7600000000,8.9200000000,24058400,214241310.8800,3.636500,1.942900
2025-11-03,sz.002642,9.0000000000,9.1500000000,8.9200000000,9.1400000000,31123200,282684628.0000,4.704400,2.466400
2025-11-04,sz.002642,9.1400000000,9.1400000000,8.9700000000,9.0600000000,19954400,180462453.5000,3.016200,-0.875300
2025-11-05,sz.002642,8.9400000000,9.0500000000,8.9000000000,9.0300000000,14378750,129412646.0000,2.173400,-0.331100
2025-11-06,sz.002642,8.9900000000,9.0300000000,8.8300000000,8.9300000000,19671400,174999919.5000,2.973400,-1.107400
2025-11-07,sz.002642,8.8800000000,8.8900000000,8.8000000000,8.8100000000,16989450,149945790.0000,2.568000,-1.343800
2025-11-10,sz.002642,8.8100000000,8.8700000000,8.7600000000,8.8200000000,14905815,131089595.8500,2.253100,0.113500
2025-11-11,sz.002642,8.8100000000,8.8200000000,8.6700000000,8.6900000000,19671855,171710510.9000,2.973500,-1.473900
2025-11-12,sz.002642,8.6800000000,8.6900000000,8.4700000000,8.5600000000,19601230,167563397.3000,2.962800,-1.496000
2025-11-13,sz.002642,8.5300000000,8.6500000000,8.4600000000,8.6300000000,14550980,124644763.1000,2.199400,0.817800
2025-11-14,sz.002642,8.5500000000,8.6900000000,8.5300000000,8.6000000000,12153150,105064429.5000,1.837000,-0.347600
2025-11-17,sz.002642,8.5800000000,8.7900000000,8.5700000000,8.7800000000,18383113,160403566.8800,2.778700,2.093000
2025-11-18,sz.002642,8.7600000000,8.8500000000,8.7100000000,8.8100000000,17200400,151355598.8500,2.599900,0.341700
2025-11-19,sz.002642,8.8300000000,8.8400000000,8.5900000000,8.6300000000,17015801,147505039.9700,2.572000,-2.043100
2025-11-20,sz.002642,8.7000000000,9.0800000000,8.6500000000,8.9100000000,44265200,393351051.8200,6.690800,3.244500
2025-11-21,sz.002642,8.7600000000,9.2500000000,8.7600000000,9.0700000000,74060859,670762598.5600,11.194500,1.795700
2025-11-24,sz.002642,9.0100000000,9.6000000000,8.9300000000,9.4400000000,80355061,741280750.4500,12.145900,4.079400
2025-11-25,sz.002642,9.3100000000,9.4900000000,9.2500000000,9.3500000000,60301083,565229819.0100,9.114700,-0.953400
2025-11-26,sz.002642,9.3100000000,9.6500000000,9.2700000000,9.4900000000,61361877,580081144.4200,9.275000,1.497300
2025-11-27,sz.002642,9.5000000000,9.5100000000,9.1800000000,9.2900000000,43604837,404938651.9900,6.591000,-2.107500
2025-11-28,sz.002642,9.2000000000,9.3100000000,9.1200000000,9.1900000000,27298500,250735591.0000,4.126300,-1.076400
2025-12-01,sz.002642,9.1300000000,9.1900000000,9.0300000000,9.1300000000,27152305,247481096.3000,4.104200,-0.652900
